Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
WASHINGTON DULLES INTL ARPT,B-727,Medium,4/29/1990,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400,Substantial,4/30/1990,US AIRWAYS*,Florida,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
CHICAGO O'HARE INTL ARPT,B-727,None,5/1/1990,UNITED AIRLINES,Illinois,Climb,Large,White-tailed deer,Night,0,0,0,120
HOUSTON-HOBBY,B-737-500,None,5/1/1990,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,124
CHICAGO O'HARE INTL ARPT,B-767-200,None,5/2/1990,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
SAN ANTONIO INTL,B-737-200,None,5/3/1990,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,320
SACRAMENTO INTL,MD-80,None,5/5/1990,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,260
WILL ROGERS WORLD ARPT,B-727-200,None,5/5/1990,AMERICAN AIRLINES,Oklahoma,Approach,Small,Unknown bird - small,Day,0,0,0,150
ATLANTA INTL,B-767,None,5/5/1990,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,180
INDIANAPOLIS INTL,BE-90  KING,Minor,5/7/1990,BUSINESS,Indiana,Descent,Medium,Unknown bird - medium,Day,0,0,0,160
DALLAS/FORT WORTH INTL ARPT,MD-80,None,5/7/1990,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,240
KANSAS CITY INTL,E-4B,None,5/8/1990,MILITARY,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
MINETA SAN JOSE INTL,MD-80,None,5/8/1990,AMERICAN AIRLINES,California,Take-off run,Small,American robin,Day,0,0,0,135
METRO OAKLAND INTL,MD-82,None,5/10/1990,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/10/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,220
CHICAGO O'HARE INTL ARPT,MD-82,None,5/11/1990,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250
NASHVILLE INTL,B-727,None,5/13/1990,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,5/13/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,160
NASHVILLE INTL,MD-80,None,5/13/1990,AMERICAN AIRLINES,Tennessee,Climb,Small,European starling,Day,0,0,0,160
MINNEAPOLIS-ST PAUL INTL,DC-9,None,5/13/1990,AMERICAN AIRLINES,Minnesota,Landing Roll,Small,American robin,Day,0,0,0,100
PORTLAND INTL (OR),MD-80,None,5/14/1990,AMERICAN AIRLINES,Oregon,Descent,Medium,Unknown bird - medium,Night,0,0,0,200
LAMBERT-ST LOUIS INTL,MD-80,None,5/14/1990,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140
CHICAGO O'HARE INTL ARPT,KC-135E,None,5/15/1990,MILITARY,Illinois,Take-off run,Large,Coyote,Day,0,0,0,150
CHICAGO O'HARE INTL ARPT,C-130,None,5/15/1990,MILITARY,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,5/15/1990,AMERICAN AIRLINES,Texas,Landing Roll,Medium,American crow,Day,0,0,0,135
SALT LAKE CITY INTL,KC-135E,None,5/15/1990,MILITARY,Utah,Landing Roll,Small,Common nighthawk,Day,0,0,0,150
HONOLULU INTL ARPT,B-737,None,5/16/1990,ALOHA AIRLINES,Hawaii,Landing Roll,Large,Unknown bird - large,Day,0,0,0,70
AUSTIN-BERGSTROM INTL,B-737-200,None,5/16/1990,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-727,None,5/18/1990,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Night,0,0,0,122
LAMBERT-ST LOUIS INTL,MD-80,None,5/19/1990,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140
RONALD REAGAN WASHINGTON NATL,B-757-200,None,5/20/1990,AMERICAN AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,120
SACRAMENTO INTL,B-737-300,None,5/22/1990,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,140
CHICAGO O'HARE INTL ARPT,B-727-200,None,5/22/1990,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,140
SAN FRANCISCO INTL ARPT,B-767,None,5/23/1990,DELTA AIR LINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,150
CHARLESTON AFB/INTL ARPT,C-141B,None,5/24/1990,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,250
HOUSTON-HOBBY,B-737-300,None,5/24/1990,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250
LAMBERT-ST LOUIS INTL,L-1011,None,5/26/1990,TRANS WORLD AIRLINES,Missouri,Descent,Medium,Unknown bird - medium,Day,0,0,0,160
HOUSTON-HOBBY,B-737,None,5/26/1990,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,5/26/1990,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Climb,Medium,Unknown bird - medium,Night,0,0,0,180
NASHVILLE INTL,B-727-200,None,5/26/1990,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,170
SACRAMENTO INTL,B-737-300,None,5/27/1990,UNITED AIRLINES,California,Approach,Medium,Mallard,Day,0,0,0,140
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,5/27/1990,US AIRWAYS*,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,MD-80,None,5/27/1990,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Day,0,0,0,170
LOUISVILLE INTL ARPT,DC-9-10,None,5/29/1990,TRANS WORLD AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/29/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/29/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,135
CHICAGO O'HARE INTL ARPT,B-727-200,None,5/29/1990,AMERICAN AIRLINES,Illinois,Climb,Small,European starling,Day,0,0,0,160
NEW ORLEANS INTL,B-737-200,None,5/30/1990,SOUTHWEST AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,130
LAMBERT-ST LOUIS INTL,GULFAERO IV,None,5/30/1990,BUSINESS,Missouri,Landing Roll,Small,European starling,Day,0,0,0,140
LAMBERT-ST LOUIS INTL,B-737-300,None,5/31/1990,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,135
LOUISVILLE INTL ARPT,DC-8,None,5/31/1990,UPS AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,B-52,None,6/1/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,146
DALLAS/FORT WORTH INTL ARPT,DC-10,None,6/1/1990,AMERICAN AIRLINES,Texas,Landing Roll,Small,European starling,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,MD-80,None,6/4/1990,AMERICAN AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,210
WILL ROGERS WORLD ARPT,MD-80,None,6/5/1990,AMERICAN AIRLINES,Oklahoma,Climb,Small,Rock pigeon,Day,0,0,0,180
LAMBERT-ST LOUIS INTL,B-737-200,None,6/6/1990,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,210
GREATER PITTSBURGH,A-7,None,6/7/1990,MILITARY,Pennsylvania,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/7/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,200
CHICAGO O'HARE INTL ARPT,MD-80,None,6/7/1990,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,210
METRO OAKLAND INTL,B-737-200,None,6/8/1990,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,135
NASHVILLE INTL,B-727-200,None,6/9/1990,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,136
BALTIMORE WASH INTL,BA-31 JETSTR,None,6/9/1990,PSA AIRLINES,Maryland,Take-off run,Small,Unknown bird - small,Day,0,0,0,130
GREATER PITTSBURGH,B-727,None,6/11/1990,UNITED AIRLINES,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/12/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,150
WILL ROGERS WORLD ARPT,B-737-300,None,6/12/1990,SOUTHWEST AIRLINES,Oklahoma,Approach,Small,Mourning dove,Day,0,0,0,135
SAN ANTONIO INTL,DC-10-10,None,6/14/1990,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,6/14/1990,US AIRWAYS*,Kentucky,Landing Roll,Small,American robin,Day,0,0,0,120
NASHVILLE INTL,B-727-100,None,6/14/1990,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,American robin,Dusk,0,0,0,85
WILL ROGERS WORLD ARPT,B-737-200,Medium,6/17/1990,SOUTHWEST AIRLINES,Oklahoma,Climb,Medium,Unknown bird - medium,Night,0,0,0,180
LOGAN INTL,B-757-200,None,6/18/1990,AMERICA WEST AIRLINES,Massachusetts,Approach,Medium,Herring gull,Dawn,48704,0,48704,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/19/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,130
GREATER PITTSBURGH,MD-80,None,6/19/1990,AMERICAN AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,130
SAN FRANCISCO INTL ARPT,DC-8-70,None,6/20/1990,UNITED AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140
ORLANDO INTL,MD-80,None,6/21/1990,AMERICAN AIRLINES,Florida,Approach,Medium,Unknown bird - medium,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/22/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,150
HOUSTON-HOBBY,B-737-300,None,6/23/1990,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,250
CLEVELAND-HOPKINS INTL ARPT,B-737,None,6/23/1990,CONTINENTAL AIRLINES,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,110
CLEVELAND-HOPKINS INTL ARPT,BA-31 JETSTR,None,6/23/1990,PSA AIRLINES,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,100
MINETA SAN JOSE INTL,MD-80,None,6/23/1990,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,110
PORT COLUMBUS INTL,B-727,None,6/23/1990,UNKNOWN,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,6/26/1990,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,160
EPPLEY AIRFIELD,MD-87,None,6/26/1990,UPS AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Day,0,0,0,140
ATLANTIC CITY INTL,CV-580,None,6/27/1990,GOVERNMENT,New Jersey,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,40
CHICAGO O'HARE INTL ARPT,B-727-200,None,6/28/1990,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,130
DALLAS/FORT WORTH INTL ARPT,B-727-100,None,6/28/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250
CHICAGO O'HARE INTL ARPT,MD-80,None,6/30/1990,AMERICAN AIRLINES,Illinois,Landing Roll,Small,Unknown bird - small,Day,0,0,0,145
DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/1/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
HONOLULU INTL ARPT,DC-10-10,None,7/3/1990,AMERICAN AIRLINES,Hawaii,Approach,Medium,Unknown bird - medium,Night,0,0,0,137
GEORGE BUSH INTERCONTINENTAL,B-727-200,None,7/3/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
CHARLOTTE/DOUGLAS INTL ARPT,MD-80,None,7/5/1990,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,125
CHARLESTON AFB/INTL ARPT,MD-80,None,7/6/1990,AMERICAN AIRLINES,South Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100
SACRAMENTO INTL,B-737-200,None,7/6/1990,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,125
LOUISVILLE INTL ARPT,B-737,None,7/7/1990,UNITED AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
MINETA SAN JOSE INTL,B-767,Minor,7/8/1990,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140
SALT LAKE CITY INTL,MD-80,None,7/8/1990,AMERICAN AIRLINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,7/8/1990,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,134
CHICAGO O'HARE INTL ARPT,B-727,None,7/8/1990,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,210
SEATTLE-TACOMA INTL,DC-10,None,7/9/1990,NORTHWEST AIRLINES,Washington,Climb,Medium,Unknown bird - medium,Day,0,0,0,200
ATLANTA INTL,B-737,None,7/10/1990,UNITED AIRLINES,Georgia,Approach,Medium,Unknown bird - medium,Day,0,0,0,
MEMPHIS INTL,MD-80,None,7/10/1990,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,130
SALT LAKE CITY INTL,B-727,Minor,7/11/1990,DELTA AIR LINES,Utah,Descent,Large,Unknown bird - large,Day,0,0,0,350
ATLANTA INTL,B-767,None,7/11/1990,DELTA AIR LINES,Georgia,Landing Roll,Small,European starling,Dawn,0,0,0,130
SAN FRANCISCO INTL ARPT,L-1011,None,7/11/1990,TRANS WORLD AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,7/12/1990,BUSINESS,Ohio,Approach,Small,American robin,Day,0,0,0,130
LIHUE ARPT,B-737-300,Substantial,7/13/1990,ALOHA AIRLINES,Hawaii,Take-off run,Small,Short-eared owl,Dawn,0,0,0,85
LOS ANGELES INTL,MD-80,None,7/13/1990,ALASKA AIRLINES,California,Landing Roll,Small,American kestrel,Day,0,0,0,125
GREATER PITTSBURGH,MD-80,None,7/15/1990,AMERICAN AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,160
NASHVILLE INTL,MD-80,None,7/15/1990,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,120
METRO OAKLAND INTL,BA-146-200,Minor,7/16/1990,US AIRWAYS*,California,Climb,Large,Canada goose,Dusk,0,0,0,130
KANSAS CITY INTL,MD-80,None,7/16/1990,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,140
ATLANTIC CITY INTL,B-727,None,7/16/1990,BUSINESS,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,120
ATLANTIC CITY INTL,FOKKER F100,None,7/16/1990,US AIRWAYS*,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,MD-82,None,7/17/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130
ATLANTIC CITY INTL,B-727,None,7/17/1990,BUSINESS,New Jersey,Take-off run,Small,Laughing gull,Day,0,0,0,
GREATER PITTSBURGH,MD-80,None,7/19/1990,AMERICAN AIRLINES,Pennsylvania,Take-off run,Small,Unknown bird - small,Day,0,0,0,125
ATLANTA INTL,B-727,None,7/20/1990,TRANS WORLD AIRLINES,Georgia,Climb,Medium,Unknown bird - medium,Day,0,0,0,190
NEWARK LIBERTY INTL ARPT,DC-10,None,7/21/1990,FEDEX EXPRESS,New Jersey,Landing Roll,Large,Unknown bird - large,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/22/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
KANSAS CITY INTL,B-737-300,None,7/23/1990,AMERICA WEST AIRLINES,Missouri,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,120
ATLANTIC CITY INTL,FOKKER F100,None,7/23/1990,US AIRWAYS*,New Jersey,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,MD-80,Minor,7/23/1990,AMERICAN AIRLINES,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,140
LAMBERT-ST LOUIS INTL,MD-82,Minor,7/24/1990,AMERICAN AIRLINES,Missouri,Climb,Small,Unknown bird - small,Day,0,0,0,220
LOUISVILLE INTL ARPT,HAWKER-SDLY HS125,None,7/25/1990,BUSINESS,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,120
CHICAGO O'HARE INTL ARPT,B-757-200,None,7/26/1990,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
GEORGE BUSH INTERCONTINENTAL,B-727-100,None,7/26/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130
HOUSTON-HOBBY,B-737-300,None,7/28/1990,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,120
MINETA SAN JOSE INTL,PA-23-250,None,7/29/1990,UNKNOWN,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,100
ATLANTIC CITY INTL,DC-9,None,7/29/1990,BUSINESS,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-82,None,7/29/1990,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,250
PHILADELPHIA INTL,DC-8,None,7/30/1990,UNITED AIRLINES,Pennsylvania,Approach,Large,Canada goose,Day,0,0,0,130
HOUSTON-HOBBY,MD-80,None,7/30/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,128
HOUSTON-HOBBY,ATR-42,None,7/31/1990,CONTINENTAL AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,120
CHICAGO O'HARE INTL ARPT,B-757-200,None,8/1/1990,AMERICAN AIRLINES,Illinois,Approach,Small,Rock pigeon,Day,0,0,0,125
PHILADELPHIA INTL,B-757-200,None,8/1/1990,AMERICAN AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,170
JOHN F KENNEDY INTL,B-747-1/200,Medium,8/2/1990,TRANS WORLD AIRLINES,New York,Approach,Medium,Herring gull,Day,0,0,0,
HOUSTON-HOBBY,B-737-500,None,8/2/1990,SOUTHWEST AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,110
DALLAS/FORT WORTH INTL ARPT,MD-80,None,8/3/1990,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,210
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,8/4/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,165
CHICAGO O'HARE INTL ARPT,MD-80,None,8/4/1990,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250
NASHVILLE INTL,MD-80,None,8/5/1990,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,132
BALTIMORE WASH INTL,FOKKER F28 MK 1000,None,8/5/1990,US AIRWAYS*,Maryland,Landing Roll,Small,Unknown bird - small,Day,0,0,0,80
NASHVILLE INTL,MD-80,None,8/5/1990,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,8/6/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,165
